date,open,high,low,close,volume
2006-12-01,23.5341,23.5341,23.2252,23.4065,419900
2006-12-04,23.2857,23.4401,23.2052,23.3595,462300
2006-12-05,23.4200,23.4670,23.2454,23.4468,808600
2006-12-06,23.4670,23.5005,23.3730,23.4132,443400
2006-12-07,23.7020,23.7691,23.5811,23.6080,296000
2006-12-08,23.6482,23.8430,23.6147,23.6818,311600
2006-12-11,23.7422,24.0377,23.7422,23.9571,523500
2006-12-12,24.1115,24.1720,23.9504,24.1653,303900
2006-12-13,24.0847,24.0914,23.9705,24.0108,335300
2006-12-14,24.0108,24.2727,23.9840,24.1921,580100
2006-12-15,24.2794,24.5077,24.2794,24.3667,461600
2006-12-18,24.7427,24.8434,24.6756,24.7427,448700
2006-12-19,24.6151,24.7897,24.5278,24.7226,445000
2006-12-20,25.0717,25.2463,25.0516,25.1456,363000
2006-12-21,25.3806,25.4947,25.2799,25.4410,299500
2006-12-22,25.8170,25.8506,25.6357,25.7767,401900
2006-12-26,25.8170,26.0453,25.8170,25.9312,268800
2006-12-27,26.3489,26.8678,26.3489,26.8476,959100
2006-12-28,26.7330,26.8408,26.6184,26.7330,432000
2006-12-29,26.6589,26.7937,26.6454,26.6454,326200
2007-01-03,26.8274,26.9756,26.6184,26.7600,458100
2007-01-04,26.7195,27.0565,26.6184,26.9823,421700
2007-01-05,26.2276,26.2276,25.8502,26.0591,782900
2007-01-08,26.0996,26.3691,26.0254,26.2074,422700
2007-01-09,26.2209,26.2478,26.0389,26.2209,228600
2007-01-10,25.8098,25.8098,25.3515,25.5672,591500
2007-01-11,25.5402,25.7626,25.4594,25.6076,894500
2007-01-12,25.7694,26.0119,25.7694,25.9446,705100
2007-01-16,26.1467,26.3504,26.0591,26.1063,1095900
2007-01-17,26.0726,26.0726,25.8233,25.8839,608200
2007-01-18,26.4163,26.6184,26.3423,26.4837,1021700
2007-01-19,26.6387,26.9554,26.6387,26.8813,846200
2007-01-22,26.5443,26.5713,26.3085,26.3489,820200
2007-01-23,26.6319,26.8476,26.6319,26.7397,727700
2007-01-24,27.0497,27.4271,27.0497,27.3867,448800
2007-01-25,26.8071,26.8071,26.2141,26.2545,1079900
2007-01-26,26.4095,26.4095,26.1467,26.3287,716800
2007-01-29,26.3287,26.4095,26.2141,26.2950,500300
2007-01-30,26.5376,26.8206,26.5376,26.7532,548800
2007-01-31,26.4298,26.5308,26.2074,26.5039,1037700
2007-02-01,26.5982,26.7465,26.3219,26.4163,1172300
2007-02-02,26.2478,26.2478,25.5402,25.7694,1697600
2007-02-05,25.2774,25.4863,25.2505,25.3852,951200
2007-02-06,25.8300,26.0052,25.5470,25.9513,960700
2007-02-07,26.0861,26.0861,25.8772,25.9985,336300
2007-02-08,26.0524,26.3152,26.0524,26.1939,489700
2007-02-09,26.8813,27.0430,26.6252,26.6724,827000
2007-02-12,26.4567,26.8206,26.4567,26.4971,618300
2007-02-13,27.0700,27.3799,27.0565,27.2923,915200
2007-02-14,27.2519,27.5080,27.1778,27.4810,806700
2007-02-15,26.8274,27.0160,26.7330,26.9689,613100
2007-02-16,26.3287,26.4028,26.2680,26.3354,587900
2007-02-20,26.3152,26.3152,26.1400,26.2882,640900
2007-02-21,25.5604,25.8637,25.5537,25.7828,616200
2007-02-22,25.7491,25.8098,25.6076,25.6683,491600
2007-02-23,25.6683,25.7896,25.6076,25.7154,482900
2007-02-26,26.0052,26.1265,25.8435,26.0120,517200
2007-02-27,25.8637,26.0120,24.5092,25.0618,1070800
2007-02-28,25.0281,25.2235,24.7518,25.0348,970700
2007-03-01,23.9229,24.6507,23.3838,24.5159,1413300
2007-03-02,24.4014,24.4283,24.1183,24.1520,480400
2007-03-05,24.6777,24.9405,24.4148,24.4620,853200
2007-03-06,24.8327,24.8731,24.4485,24.7720,777100
2007-03-07,24.5901,24.6507,24.3812,24.4822,305400
2007-03-08,25.0550,25.1763,24.9000,24.9944,425700
2007-03-09,24.8596,24.9203,24.6507,24.7450,493900
2007-03-12,24.6170,24.7653,24.4890,24.6642,322600
2007-03-13,24.5294,24.5833,24.0914,24.1049,342000
2007-03-14,23.9229,24.0240,23.5186,23.9364,740400
2007-03-15,23.8151,24.0442,23.7881,23.9499,366400
2007-03-16,23.7612,23.8218,23.5994,23.6466,678800
2007-03-19,23.7342,23.9162,23.6958,23.8623,430200
2007-03-20,23.8892,24.1183,23.7612,24.0846,297000
2007-03-21,23.8960,24.4216,23.8960,24.3812,555500
2007-03-22,24.1925,24.3744,24.1251,24.2801,634500
2007-03-23,24.4283,24.6372,24.4283,24.5564,355200
2007-03-26,24.4081,24.4081,24.1625,24.3542,293200
2007-03-27,24.0914,24.1453,23.9229,24.0240,401900
2007-03-28,23.6534,23.7820,23.5925,23.6128,765500
2007-03-29,23.5993,23.6534,23.4369,23.6061,1224900
2007-03-30,23.7414,23.8226,23.5925,23.5925,1064800
2007-04-02,23.4031,23.5587,23.2948,23.4707,497800
2007-04-03,23.7684,24.0458,23.7278,24.0120,891900
2007-04-04,24.2962,24.4856,24.2285,24.3638,917200
2007-04-05,24.0188,24.0875,23.8293,24.0120,1193900
2007-04-09,23.9105,23.9240,23.7549,23.8835,512600
2007-04-10,23.3828,23.5790,23.3490,23.5181,1627100
2007-04-11,23.2542,23.2542,22.9227,22.9904,1402200
2007-04-12,22.9904,23.1933,22.9234,23.1527,795400
2007-04-13,22.8889,22.9768,22.8280,22.9227,840200
2007-04-16,23.0107,23.3625,22.9498,23.2339,677500
2007-04-17,23.0377,23.1054,22.9836,23.0377,783600
2007-04-18,23.1866,23.5384,23.1866,23.3422,698700
2007-04-19,23.4369,23.6805,23.3895,23.5519,457200
2007-04-20,23.5452,23.6602,23.3422,23.6466,900200
2007-04-23,23.5452,23.6196,23.4978,23.5316,686900
2007-04-24,23.1460,23.2610,23.0783,23.1257,1230000
2007-04-25,22.7942,23.1189,22.7468,23.0851,1495800
2007-04-26,23.0445,23.1933,22.9836,23.1392,585700
2007-04-27,23.3490,23.4775,23.3287,23.4369,587400
2007-04-30,23.3692,23.5452,23.2745,23.2948,743100
2007-05-01,23.0107,23.1054,22.8753,23.0918,858500
2007-05-02,22.7942,22.9159,22.6791,22.8415,2369300
2007-05-03,22.9565,22.9565,22.7671,22.8347,825000
2007-05-04,22.8415,22.9701,22.8144,22.8889,512200
2007-05-07,23.1392,23.2610,23.1054,23.2272,591800
2007-05-08,23.0174,23.0174,22.8956,22.9701,724700
2007-05-09,22.9295,23.0377,22.8753,23.0242,427800
2007-05-10,22.7468,22.8347,22.5303,22.5506,981800
2007-05-11,22.7671,23.0513,22.7671,23.0039,546300
2007-05-14,22.9904,23.1392,22.9633,23.1392,1284000
2007-05-15,22.9701,23.3084,22.9362,23.1663,1044800
2007-05-16,23.2001,23.3084,23.1460,23.3084,487000
2007-05-17,23.3422,23.3828,23.1527,23.3084,599800
2007-05-18,23.3354,23.4640,23.3219,23.3422,567300
2007-05-21,23.2610,23.3557,23.2137,23.2542,435800
2007-05-22,23.0851,23.1527,22.9701,23.0445,519200
2007-05-23,23.0107,23.2272,22.9971,23.0107,578000
2007-05-24,23.3760,23.5993,23.1663,23.2204,909900
2007-05-25,23.2339,23.4166,23.2339,23.3016,418200
2007-05-29,23.5925,23.5993,23.4098,23.5587,560200
2007-05-30,23.2948,23.4707,23.2001,23.4437,500700
2007-05-31,23.7820,23.9443,23.7617,23.9038,536000
2007-06-01,23.9985,24.0729,23.9173,24.0594,460000
2007-06-04,23.9917,23.9985,23.7847,23.9443,407100
2007-06-05,23.8970,23.9173,23.7346,23.8361,422800
2007-06-06,23.8158,23.8429,23.4978,23.5858,326300
2007-06-07,23.6872,23.7887,23.4098,23.4504,767900
2007-06-08,23.2475,23.4910,23.1054,23.4234,619100
2007-06-11,23.6061,23.7549,23.5452,23.6466,666800
2007-06-12,23.3760,23.5858,23.2069,23.2136,2434500
2007-06-13,23.5858,23.7008,23.4910,23.7008,522800
2007-06-14,23.5722,23.7820,23.5722,23.7075,408800
2007-06-15,23.9511,24.1135,23.9105,24.0391,337800
2007-06-18,24.0526,24.1744,23.9918,24.1744,662200
2007-06-19,24.3571,24.3841,24.1947,24.3571,454000
2007-06-20,24.3435,24.3435,23.9038,23.9714,880200
2007-06-21,24.1092,24.1812,23.8970,24.0932,742300
2007-06-22,24.0526,24.0797,23.7820,23.8293,284800
2007-06-25,24.3638,24.3638,24.0188,24.0391,361600
2007-06-26,24.2217,24.2894,23.9038,23.9714,419200
2007-06-27,23.9191,24.2386,23.8669,24.2386,1730900
2007-06-28,24.4357,24.7348,24.3949,24.6396,661800
2007-06-29,24.8232,24.8707,24.6396,24.6668,331100
2007-07-02,25.1494,25.4213,24.9659,25.4213,2025200
2007-07-03,25.4213,25.4757,25.2854,25.4553,2808600
2007-07-05,25.3533,25.3533,25.1086,25.1698,471700
2007-07-06,25.1426,25.2106,25.0135,25.1154,284300
2007-07-09,25.1358,25.2650,25.1222,25.1766,374000
2007-07-10,24.9455,25.0203,24.8436,24.8707,320300
2007-07-11,24.8368,24.9523,24.7484,24.8911,305600
2007-07-12,24.9795,25.2174,24.9523,25.2174,307600
2007-07-13,25.4757,25.5912,25.3805,25.5369,403900
2007-07-16,25.5233,25.5845,25.4757,25.5097,298900
2007-07-17,25.1766,25.2514,25.1358,25.2174,438300
2007-07-18,24.9863,25.0679,24.7416,24.9931,1285300
2007-07-19,25.0475,25.6932,24.9795,25.1494,1386300
2007-07-20,25.2310,25.4349,25.1494,25.3398,1893800
2007-07-23,25.1154,25.1834,25.0271,25.0815,326100
2007-07-24,25.2174,25.2854,24.8979,25.0271,473600
2007-07-25,25.1494,25.2106,24.8775,25.0407,646900
2007-07-26,24.9251,24.9319,23.8036,24.2998,682900
2007-07-27,24.5445,24.6193,24.1299,24.2318,1040400
2007-07-30,24.6057,24.7280,24.2998,24.4697,906500
2007-07-31,24.7756,24.7824,24.3882,24.4833,616400
2007-08-01,24.4017,24.5037,23.9803,24.3678,996000
2007-08-02,23.7832,24.0075,23.7832,23.9191,809100
2007-08-03,24.1095,24.1095,23.6269,23.6405,570400
2007-08-06,24.0211,24.1163,23.5997,23.8512,1010300
2007-08-07,23.4501,24.0755,22.9336,23.9871,897900
2007-08-08,23.7696,23.8355,23.5929,23.7900,808600
2007-08-09,23.3482,23.4162,22.9404,23.0219,1478200
2007-08-10,22.7636,22.8112,22.3558,22.7636,940800
2007-08-13,22.9811,23.1579,22.9608,22.9811,707600
2007-08-14,23.1511,23.2190,22.8452,22.8928,618800
2007-08-15,22.7229,22.8452,22.3762,22.3830,936500
2007-08-16,21.8188,22.0975,21.2955,21.7169,2181100
2007-08-17,21.2683,21.8052,21.2683,21.6693,1792000
2007-08-20,21.6625,21.9140,21.4518,21.6081,1586000
2007-08-21,21.6965,21.9072,21.6421,21.8188,1094200
2007-08-22,21.6353,21.9208,21.6285,21.8460,851400
2007-08-23,21.8800,22.0092,21.7781,21.8800,823700
2007-08-24,21.7916,21.9820,21.7237,21.9820,669100
2007-08-27,22.0907,22.2063,22.0092,22.0635,362900
2007-08-28,22.1587,22.2335,21.7441,21.7577,1025400
2007-08-29,21.7916,22.0907,21.7509,22.0907,858200
2007-08-30,21.5266,21.8120,21.4450,21.6489,596000
2007-08-31,22.3286,22.5665,22.2063,22.3762,570200
2007-09-04,22.6345,22.8112,22.5937,22.7636,443900
2007-09-05,22.6957,22.6957,22.2471,22.4714,446800
2007-09-06,22.4510,22.6481,22.2063,22.5733,810800
2007-09-07,22.0907,22.1859,21.9820,22.1383,534100
2007-09-10,22.7704,22.7704,21.9956,22.1383,828000
2007-09-11,22.1995,22.2063,22.0839,22.1655,338100
2007-09-12,22.1043,22.1655,22.0024,22.0907,301400
2007-09-13,22.4034,22.4646,22.1859,22.3558,722600
2007-09-14,22.4442,22.6957,22.4442,22.6481,497500
2007-09-17,22.6005,22.6549,22.4646,22.5189,317900
2007-09-18,22.3626,22.7704,22.3083,22.7296,1126800
2007-09-19,22.9064,23.0695,22.7569,22.8384,544100
2007-09-20,22.7432,22.7704,22.3558,22.5189,1178300
2007-09-21,22.2810,22.4442,22.2742,22.3830,465800
2007-09-24,22.3286,22.4985,22.2946,22.3694,438000
2007-09-25,22.5461,22.5733,22.3286,22.3966,1010200
2007-09-26,22.3898,22.4306,22.2606,22.2946,1192900
2007-09-27,22.5665,22.7093,22.5189,22.6957,444200
2007-09-28,22.6685,22.8384,22.6209,22.6753,290500
2007-10-01,22.7704,23.0151,22.7093,22.8928,677900
2007-10-02,22.9404,22.9404,22.8112,22.9268,405000
2007-10-03,22.9200,22.9675,22.5665,22.6345,305700
2007-10-04,23.0083,23.1579,22.8928,22.9540,394400
2007-10-05,23.2802,23.4501,23.1579,23.3346,426500
2007-10-08,23.3346,23.3346,23.1103,23.2394,226700
2007-10-09,23.5249,23.5249,23.2122,23.4366,581000
2007-10-10,23.5113,23.5453,23.3142,23.4298,590200
2007-10-11,23.5725,23.6541,23.2938,23.4366,569000
2007-10-12,23.4162,23.4162,23.1851,23.3074,548000
2007-10-15,22.8656,22.8656,22.4170,22.5325,485900
2007-10-16,22.8044,22.8044,22.4442,22.5597,444500
2007-10-17,22.6413,22.6610,22.3422,22.5325,432700
2007-10-18,22.6685,22.6685,22.5393,22.6209,325700
2007-10-19,22.5597,22.5597,22.0567,22.1179,388500
2007-10-22,22.1315,22.3218,22.0703,22.3218,451200
2007-10-23,22.4917,22.6005,22.3830,22.4850,405600
2007-10-24,22.5461,22.6685,22.1519,22.5189,525200
2007-10-25,22.5665,22.7908,22.5053,22.7161,478900
2007-10-26,23.9667,24.2590,23.7968,24.2454,596300
2007-10-29,24.5921,24.7960,24.5513,24.7416,702400
2007-10-30,24.9591,24.9727,24.6396,24.7008,922200
2007-10-31,25.4009,25.5845,25.1766,25.4417,1470100
2007-11-01,25.4349,25.5182,24.8911,24.9795,794500
2007-11-02,24.9115,25.0203,24.6872,24.9455,1274600
2007-11-05,25.1834,25.4757,25.0475,25.1698,518900
2007-11-06,24.6736,24.7076,24.4017,24.6600,817600
2007-11-07,24.2250,24.6396,23.9871,24.0959,735200
2007-11-08,24.3066,24.3066,23.6269,24.0959,778600
2007-11-09,23.6065,23.6337,23.2938,23.2938,578300
2007-11-12,23.1035,23.4162,23.0151,23.0355,481400
2007-11-13,23.2462,23.8716,23.2462,23.8716,369700
2007-11-14,24.0619,24.0619,23.4773,23.5317,325500
2007-11-15,23.6609,23.6609,23.0423,23.1647,279200
2007-11-16,23.1239,23.3550,23.0083,23.3006,576700
2007-11-19,23.3482,23.3482,22.7432,22.8724,420200
2007-11-20,23.1103,23.4977,22.9336,23.1919,480200
2007-11-21,22.8044,22.8044,22.1995,22.4306,545500
2007-11-23,22.5733,22.7636,22.4170,22.7296,170400
2007-11-26,22.9336,22.9336,22.4578,22.4646,457000
2007-11-27,22.8384,22.8996,22.5937,22.8996,512700
2007-11-28,22.7704,23.1103,22.5461,23.0083,489900
2007-11-29,22.9064,23.2394,22.9064,23.1783,513100
2007-11-30,23.3822,23.4705,23.2190,23.3890,992600
2007-12-03,23.3822,23.3822,22.6957,22.7636,473300
2007-12-04,22.8112,22.9404,22.6957,22.7840,246600
2007-12-05,22.8180,23.4298,22.8180,23.3414,677800
2007-12-06,23.4705,23.6948,23.2938,23.6948,382800
2007-12-07,23.5453,23.7900,23.5453,23.7424,442100
2007-12-10,23.6541,23.9259,23.6541,23.8580,220700
2007-12-11,23.5589,23.7900,23.0559,23.1035,329700
2007-12-12,23.2666,23.9259,23.0404,23.3074,558500
2007-12-13,22.9879,22.9879,22.6617,22.7364,605000
2007-12-14,22.5733,22.5733,22.0907,22.1791,438200
2007-12-17,21.9208,22.2403,21.9208,21.9752,576900
2007-12-18,21.9820,22.2606,21.8460,22.1315,392300
2007-12-19,22.0907,22.4578,22.0907,22.2742,500100
2007-12-20,22.4850,22.4850,21.9616,22.1383,344200
2007-12-21,22.4306,22.9132,22.4306,22.9132,429900
2007-12-24,22.9132,22.9743,22.8044,22.8928,100200
2007-12-26,22.9037,22.9995,22.8354,22.9584,239200
2007-12-27,22.6303,22.7260,22.4593,22.5619,333100
2007-12-28,22.5277,22.8764,22.5277,22.6576,257600
2007-12-31,22.8969,22.8969,22.5482,22.6576,271200
2008-01-02,22.5824,22.9790,22.5346,22.6166,406700
2008-01-03,22.6850,22.7602,22.4867,22.6303,470700
2008-01-04,22.4252,22.5783,22.1517,22.2132,418500
2008-01-07,22.3500,22.5277,22.0696,22.2201,907100
2008-01-08,22.2132,22.2132,21.5158,21.5705,1390500
2008-01-09,21.5227,21.6663,21.2424,21.6526,1223100
2008-01-10,21.3244,21.5295,21.0578,21.3928,660300
2008-01-11,21.4065,21.5364,21.1877,21.3381,3137800
2008-01-14,21.4338,21.6663,21.4065,21.5774,505200
2008-01-15,20.7775,20.7775,20.1826,20.2510,1616600
2008-01-16,20.1895,20.1895,19.7861,19.8545,1428100
2008-01-17,20.0527,20.4698,19.8340,19.8887,851000
2008-01-18,20.5108,20.7159,19.9023,20.2305,874200
2008-01-22,19.0135,19.8408,18.6990,19.6835,908800
2008-01-23,19.2323,20.0733,18.9999,20.0322,1379400
2008-01-24,19.9980,20.0801,19.7177,19.9639,641600
2008-01-25,20.6817,21.0236,20.4425,20.5997,643700
2008-01-28,20.3809,20.6134,20.1895,20.5450,443500
2008-01-29,20.5792,21.0920,20.5792,21.0851,408300
2008-01-30,21.1945,22.1654,21.1945,21.8782,951300
2008-01-31,21.3244,21.6799,21.0442,21.5637,992200
2008-02-01,21.7620,21.9124,21.5569,21.8987,516900
2008-02-04,21.7483,21.9466,21.7073,21.7551,545800
2008-02-05,21.2355,21.2355,20.5450,20.5792,871800
2008-02-06,20.8253,20.8253,20.3399,20.3741,1068800
2008-02-07,20.3536,20.4219,20.0938,20.2715,564000
2008-02-08,20.0186,20.2510,19.9092,20.0186,425300
2008-02-11,20.1963,20.3536,19.9912,20.3057,390600
2008-02-12,20.3262,20.5792,20.1074,20.2852,753500
2008-02-13,20.1006,20.1963,19.9912,20.1006,859300
2008-02-14,20.8253,20.9689,20.5792,20.6612,780200
2008-02-15,20.6612,20.7091,20.3672,20.6954,407800
2008-02-19,21.4748,21.7483,21.3107,21.4338,514700
2008-02-20,21.1193,21.2766,20.9104,21.1672,491900
2008-02-21,21.4543,21.4953,21.0783,21.1535,362400
2008-02-22,21.0988,21.0988,20.6476,21.0099,275800
2008-02-25,21.1945,21.4680,21.0783,21.4680,830800
2008-02-26,21.7278,21.9466,21.2014,21.8372,495100
2008-02-27,21.8440,22.2064,21.7893,21.9466,384100
2008-02-28,21.6594,21.6594,21.3586,21.4065,309300
2008-02-29,21.1945,21.2766,20.8937,20.9210,405100
2008-03-03,20.5929,20.6476,20.4425,20.6202,592300
2008-03-04,20.5108,20.5108,20.1006,20.2715,1078700
2008-03-05,20.4630,20.4835,20.1553,20.3946,589100
2008-03-06,20.4151,20.4151,20.1006,20.1074,522200
2008-03-07,20.0664,20.0664,19.6220,19.6699,535600
2008-03-10,19.5742,19.9365,19.5742,19.6767,494900
2008-03-11,20.1895,20.6476,20.1895,20.6476,555000
2008-03-12,20.6749,20.6749,20.2715,20.3262,452000
